Date,Temp,City,Measuring Device,Where,Noise
1981-01-01,20.7,City A,Device 1,Airport,9.873036090989725
1981-01-02,17.9,City A,Device 1,Airport,3.1647307590497737
1981-01-03,18.8,City A,Device 1,Airport,3.4154847432096327
1981-01-04,14.6,City A,Device 1,Airport,1.7810941335314885
1981-01-05,15.8,City A,Device 1,Airport,7.596222887974036
1981-01-06,15.8,City A,Device 1,Airport,-1.9046160906408485
1981-01-07,15.8,City A,Device 1,Airport,10.23443529264944
1981-01-08,17.4,City A,Device 1,Airport,2.716379297314692
1981-01-09,21.8,City A,Device 1,Airport,5.957117288171296
1981-01-10,20.0,City A,Device 1,Airport,4.25188887356777
1981-01-11,16.2,City A,Device 1,Airport,9.386323811134922
1981-01-12,13.3,City A,Device 1,Airport,-1.1804221284929621
1981-01-13,16.7,City A,Device 1,Airport,4.032748387959478
1981-01-14,21.5,City A,Device 1,Airport,3.847836935994753
1981-01-15,25.0,City A,Device 1,Airport,8.401308327006312
1981-01-16,20.7,City A,Device 1,Airport,1.7003261980579074
1981-01-17,20.6,City A,Device 1,Airport,4.4827153773486925
1981-01-18,24.8,City A,Device 1,Airport,2.366424746235885
1981-01-19,17.7,City A,Device 1,Airport,5.126641240146778
1981-01-20,15.5,City A,Device 1,Airport,6.748445641147467
1981-01-21,18.2,City A,Device 1,Airport,1.6981424683612363
1981-01-22,12.1,City A,Device 1,Airport,8.434171129518843
1981-01-23,14.4,City A,Device 1,Airport,7.704772161778386
1981-01-24,16.0,City A,Device 1,Airport,6.507483016705605
1981-01-25,16.5,City A,Device 1,Airport,7.702567847793235
1981-01-26,18.7,City A,Device 1,Airport,2.948816422477001
1981-01-27,19.4,City A,Device 1,Airport,4.631329323444056
1981-01-28,17.2,City A,Device 1,Airport,2.1926916972227937
1981-01-29,15.5,City A,Device 1,Airport,4.1963357611219525
1981-01-30,15.1,City A,Device 1,Airport,6.591066400214558
1981-01-31,15.4,City A,Device 1,Airport,2.925017744824073
1981-02-01,15.3,City A,Device 1,Airport,3.809739419432068
1981-02-02,18.8,City A,Device 1,Airport,2.938481899641202
1981-02-03,21.9,City A,Device 1,Airport,2.464383075503841
